* Exported with UsyTrace, available at https://usyless.github.io/trace
* Freq(Hz)	SPL(dB)
1636.156190	65.191891
1659.954630	65.394458
1684.099226	65.619756
1708.595013	65.846758
1733.447100	66.004786
1758.660669	66.223074
1784.240977	66.417096
1810.193360	66.679395
1836.523229	66.938186
1863.236074	67.096229
1890.337467	67.314502
1917.833058	67.573371
1945.728583	67.835840
1974.029857	68.089851
2002.742782	68.303065
2031.873347	68.558859
2061.427625	68.850799
2091.411780	69.141297
2121.832065	69.362001
2152.694823	69.582333
2184.006490	69.798578
2215.773596	70.091989
2248.002765	70.409980
2280.700718	70.573916
2313.874274	70.792223
2347.530351	70.960805
2381.675966	71.156279
2416.318240	71.354595
2451.464399	71.467177
2487.121769	71.574330
2523.297789	71.639834
2560.000000	71.679390
2597.236057	71.677126
2635.013726	71.665173
2673.340883	71.653046
2712.225522	71.640744
2751.675750	71.628262
2791.699796	71.558545
2832.306004	71.479567
2873.502844	71.400524
2915.298905	71.320792
2957.702904	71.227815
3000.723683	71.133486
3044.370214	71.037786
3088.651599	70.926397
3133.577071	70.775758
3179.155999	70.670527
3225.397888	70.557499
3272.312380	70.430963
3319.909260	70.291317
3368.198452	70.149640
3417.190027	70.030584
3466.894200	69.902995
3517.321337	69.744940
3568.481954	69.690224
3620.386720	69.508973
3673.046457	69.305454
3726.472148	69.134754
3780.674934	69.014960
3835.666117	68.856880
3891.457165	68.747059
3948.059713	68.586674
4005.485564	68.409340
4063.746693	68.229427
4122.855250	68.126903
4182.823560	67.990522
4243.664130	67.871075
4305.389646	67.715273
4368.012981	67.558303
4431.547192	67.399049
4496.005531	67.264086
4561.401437	67.154921
4627.748549	67.043258
4695.060701	66.936617
4763.351932	66.805266
4832.636481	66.665456
4902.928797	66.523613
4974.243539	66.379550
5046.595577	66.275717
5120.000000	66.131170
5194.472115	66.038703
5270.027452	65.925733
5346.681766	65.811119
5424.451043	65.694838
5503.351500	65.585463
5583.399591	65.506453
5664.612008	65.427379
5747.005687	65.372857
5830.597810	65.342932
5915.405808	65.319038
6001.447367	65.294795
6088.740429	65.270201
6177.303198	65.245248
6267.154142	65.273584
6358.311998	65.325235
6450.795775	65.404270
6544.624761	65.424841
6639.818520	65.600064
6736.396904	65.777836
6834.380053	65.958194
6933.788400	66.056695
7034.642675	66.214759
7136.963909	66.376923
7240.773439	66.550209
7346.092914	66.726016
7452.944296	66.904380
7561.349867	67.065218
7671.332234	67.223283
7782.914330	67.321061
7896.119426	67.311309
