* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Nov 16, 2024 12:22:01 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Senn 6XX (Ex) L3
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1975.000000	88.195	-143.1470
2000.000000	88.254	-142.4681
2030.000000	88.372	-141.6045
2060.000000	88.522	-140.7817
2090.000000	88.705	-139.9856
2120.000000	88.923	-139.3576
2140.000000	89.072	-139.1010
2180.000000	89.341	-138.7281
2200.000000	89.475	-138.4585
2240.000000	89.799	-137.8852
2270.000000	90.077	-137.7083
2300.000000	90.357	-137.8141
2330.000000	90.622	-138.1504
2360.000000	90.864	-138.6123
2400.000000	91.167	-139.2601
2430.000000	91.391	-139.7525
2470.000000	91.698	-140.4798
2500.000000	91.930	-141.1489
2540.000000	92.228	-142.2116
2580.000000	92.516	-143.4137
2620.000000	92.787	-144.8013
2650.000000	92.971	-145.9271
2690.000000	93.197	-147.4714
2720.000000	93.354	-148.6499
2760.000000	93.552	-150.2315
2800.000000	93.742	-151.8734
2850.000000	93.958	-154.0547
2900.000000	94.136	-156.3347
2950.000000	94.282	-158.5916
3000.000000	94.405	-160.8197
3040.000000	94.489	-162.5499
3070.000000	94.551	-163.8196
3110.000000	94.633	-165.5302
3150.000000	94.712	-167.2999
3200.000000	94.794	-169.6090
3250.000000	94.852	-171.9720
3300.000000	94.894	-174.3464
3350.000000	94.924	-176.8082
3400.000000	94.928	-179.4067
3450.000000	94.896	177.8879
3500.000000	94.815	175.1145
3550.000000	94.673	172.4335
3600.000000	94.482	170.0169
3650.000000	94.265	167.9074
3700.000000	94.038	166.0594
3750.000000	93.811	164.4169
3820.000000	93.502	162.3000
3870.000000	93.277	160.8228
3950.000000	92.876	158.5793
