* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Nov 16, 2024 12:24:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Senn 6XX (Ex) R3
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
2030.000000	88.888	-140.3624
2060.000000	89.070	-139.8272
2090.000000	89.257	-139.5710
2120.000000	89.422	-139.3701
2140.000000	89.534	-139.1419
2180.000000	89.813	-138.6042
2200.000000	89.978	-138.4781
2240.000000	90.295	-138.6416
2270.000000	90.508	-138.8798
2300.000000	90.721	-139.1283
2330.000000	90.934	-139.4867
2360.000000	91.132	-139.9353
2400.000000	91.381	-140.5038
2430.000000	91.572	-140.9027
2470.000000	91.833	-141.4960
2500.000000	92.031	-141.9837
2540.000000	92.306	-142.6785
2580.000000	92.601	-143.5406
2620.000000	92.889	-144.7368
2650.000000	93.080	-145.7842
2690.000000	93.306	-147.1999
2720.000000	93.467	-148.2411
2760.000000	93.680	-149.6199
2800.000000	93.901	-151.0814
2850.000000	94.161	-153.2251
2900.000000	94.360	-155.5479
2950.000000	94.528	-157.7490
3000.000000	94.692	-159.9733
3040.000000	94.805	-161.8397
3070.000000	94.876	-163.2358
3110.000000	94.961	-165.0644
3150.000000	95.041	-166.8963
3200.000000	95.131	-169.2371
3250.000000	95.202	-171.6713
3300.000000	95.246	-174.1478
3350.000000	95.272	-176.6184
3400.000000	95.283	-179.1668
3450.000000	95.262	178.1957
3500.000000	95.205	175.5607
3550.000000	95.116	172.9616
3600.000000	94.993	170.4127
3650.000000	94.837	167.9638
3700.000000	94.654	165.6581
3750.000000	94.452	163.4567
3820.000000	94.120	160.5144
3870.000000	93.838	158.6477
3950.000000	93.337	156.2539
4000.000000	93.004	155.1672
4060.000000	92.606	154.2946
4120.000000	92.227	153.7996
4180.000000	91.868	153.6343
4250.000000	91.484	153.8511
4310.000000	91.200	154.3573
4370.000000	90.973	155.0957
4440.000000	90.799	156.0424
4500.000000	90.725	156.7245
4550.000000	90.705	157.0853
4620.000000	90.710	157.1683
4680.000000	90.716	156.8654
4750.000000	90.698	156.1679
4820.000000	90.636	155.2861
4870.000000	90.566	154.6516
4940.000000	90.444	153.8312
5000.000000	90.322	153.2151
5080.000000	90.147	152.5502
5150.000000	89.991	152.1019
5220.000000	89.834	151.7833
5300.000000	89.664	151.6076
5380.000000	89.516	151.6182
5450.000000	89.421	151.7565
5520.000000	89.376	151.9076
5600.000000	89.392	151.8722
5700.000000	89.490	151.0826
5800.000000	89.585	149.0569
5900.000000	89.555	145.9046
6000.000000	89.323	142.2477
6080.000000	88.977	139.5160
6150.000000	88.573	137.5852
6220.000000	88.095	136.2656
6300.000000	87.497	135.6074
6400.000000	86.741	135.9943
6500.000000	86.045	137.4373
6600.000000	85.453	139.5682
6700.000000	84.980	142.0777
6800.000000	84.620	144.7093
6900.000000	84.357	147.2988
7000.000000	84.172	149.7605
7100.000000	84.052	152.0388
7200.000000	83.985	154.0864
7300.000000	83.958	155.8799
7400.000000	83.962	157.4041
7500.000000	83.988	158.6469
7620.000000	84.037	159.7540
7750.000000	84.098	160.4915
7880.000000	84.155	160.8043
8000.000000	84.204	160.7390
8120.000000	84.247	160.3016
8250.000000	84.289	159.3209
8380.000000	84.319	157.5742
8500.000000	84.296	154.9569
8620.000000	84.139	151.2538
8750.000000	83.686	146.5978
8850.000000	83.067	143.5499
9000.000000	81.698	142.0511
9120.000000	80.356	144.6556
9250.000000	78.926	151.1487
9380.000000	77.839	160.2604
9500.000000	77.360	169.7034
9620.000000	77.444	179.0543
9750.000000	78.069	-171.9228
9880.000000	79.043	-164.8921
10000.000000	80.059	-160.6435
10150.000000	81.275	-158.4625
10300.000000	82.288	-159.2249
10440.000000	82.997	-161.7787
10600.000000	83.515	-165.9208
10750.000000	83.720	-170.1973
10900.000000	83.672	-174.1449
11060.000000	83.382	-177.3043
11200.000000	82.983	-178.7789
11380.000000	82.376	-178.7057
11500.000000	81.971	-177.4814
11720.000000	81.360	-173.0934
11800.000000	81.214	-170.8717
12060.000000	81.302	-161.5598
12200.000000	81.919	-155.7120
12410.000000	83.664	-148.2205
12500.000000	84.578	-146.4662
12650.000000	86.064	-146.6820
12800.000000	87.282	-151.2073
13150.000000	88.528	-172.1336
13200.000000	88.539	-175.3622
13400.000000	88.309	172.7719
13600.000000	87.821	162.7836
13800.000000	87.221	154.0875
14000.000000	86.546	146.0925
14300.000000	85.379	135.1577
14500.000000	84.535	128.4682
14750.000000	83.481	119.8828
15000.000000	82.377	109.9543
15250.000000	81.062	98.4038
15500.000000	79.474	85.0549
15750.000000	77.745	68.3101
16000.000000	76.244	45.5141
16250.000000	75.573	15.4354
16500.000000	76.006	-19.7435
16750.000000	76.914	-55.4894
17000.000000	77.531	-87.7217
17250.000000	77.490	-114.1425
17500.000000	76.665	-132.9760
17750.000000	75.038	-141.1641
18000.000000	72.779	-135.3893
18250.000000	70.666	-116.8369
18500.000000	70.312	-94.0914
18750.000000	71.874	-76.7776
19000.000000	73.918	-68.3985
19250.000000	75.723	-67.6509
19500.000000	77.104	-71.7809
19750.000000	78.020	-77.5940
